ID,Collection_date_d,Collection_date_m,Collection_date_y,SpeciesID,Species,Country,Location_name,Location_latitude,Location_longitude,Location_altitude,Location_type,Sampled_from,Colony_type,Hive_description,Notes_1,Notes_2,Notes_3,Extra_aliquot_location,Sequenced_on,Run_ID,Resequenced_on,Re_run_ID,Label_upon_collection,Colony
M1.1,25,8,21,Am,Apis mellifera spp.,India,"Bee park, GKVK",13.0819589,77.5689045,847m,Fairly dense mixed jungle,O,SM,Bees kept in GKVK bee park. Not fed allowed to forage for themselves in GKVK area,Collected at bee park by Rajath,,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,,,Mellifera colony,M_1
M1.2,25,8,21,Am,Apis mellifera spp.,India,"Bee park, GKVK",13.0819589,77.5689045,847m,Fairly dense mixed jungle,O,SM,Bees kept in GKVK bee park. Not fed allowed to forage for themselves in GKVK area,Collected at bee park by Rajath,,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,,,Mellifera colony,M_1
M1.3,25,8,21,Am,Apis mellifera spp.,India,"Bee park, GKVK",13.0819589,77.5689045,847m,Fairly dense mixed jungle,O,SM,Bees kept in GKVK bee park. Not fed allowed to forage for themselves in GKVK area,Collected at bee park by Rajath,,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,,,Mellifera colony,M_1
M1.4,25,8,21,Am,Apis mellifera spp.,India,"Bee park, GKVK",13.0819589,77.5689045,847m,Fairly dense mixed jungle,O,SM,Bees kept in GKVK bee park. Not fed allowed to forage for themselves in GKVK area,Collected at bee park by Rajath,,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,,,Mellifera colony,M_1
M1.5,25,8,21,Am,Apis mellifera spp.,India,"Bee park, GKVK",13.0819589,77.5689045,847m,Fairly dense mixed jungle,O,SM,Bees kept in GKVK bee park. Not fed allowed to forage for themselves in GKVK area,Collected at bee park by Rajath,,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,,,Mellifera colony,M_1
C1.1,25,8,21,Ac,Apis cerana (black),India,NCBS campus,13.07235,77.580205,,Fairly dense mixed jungle,O,M,cerana fed regularly sugar water and pollen.,Collected from Vidur's colony by Ashwin and Rajath,black strain,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,,,Cerana colony 1 - black strain,C_1
C1.2,25,8,21,Ac,Apis cerana (black),India,NCBS campus,13.07235,77.580205,,Fairly dense mixed jungle,O,M,cerana fed regularly sugar water and pollen.,Collected from Vidur's colony by Ashwin and Rajath,black strain,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,,,Cerana colony 1 - black strain,C_1
C1.3,25,8,21,Ac,Apis cerana (black),India,NCBS campus,13.07235,77.580205,,Fairly dense mixed jungle,O,M,cerana fed regularly sugar water and pollen.,Collected from Vidur's colony by Ashwin and Rajath,black strain,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,211102,A01223:109:HC2KGDSX2,Cerana colony 1 - black strain,C_1
C1.4,25,8,21,Ac,Apis cerana (black),India,NCBS campus,13.07235,77.580205,,Fairly dense mixed jungle,O,M,cerana fed regularly sugar water and pollen.,Collected from Vidur's colony by Ashwin and Rajath,black strain,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,211102,A01223:109:HC2KGDSX2,Cerana colony 1 - black strain,C_1
C1.5,25,8,21,Ac,Apis cerana (black),India,NCBS campus,13.07235,77.580205,,Fairly dense mixed jungle,O,M,cerana fed regularly sugar water and pollen.,Collected from Vidur's colony by Ashwin and Rajath,black strain,"sample names apended with lib1 (library batch - only one was made per sample at medgenome) and run1 (no run0) for the first round of sequencing and for those that had a data top up done, their fastq files are run2","Bangalore (Axel lab, medgenome)",211018,A01223:105:HC32VDSX2,,,Cerana colony 1 - black strain,C_1
